status,title,description,labels,phase
done,Deploy backend em EC2,"Ubuntu Server com Python 3.10 e PostgreSQL",devops;deploy,Deploy
done,Deploy frontend em S3,"Static website hosting com acesso público",devops;deploy,Deploy
done,Configurar Nginx,"Proxy reverso para o backend com timeouts aumentados",devops;infrastructure,Deploy
done,Configurar systemd service,"Serviço lm-conciliation rodando com Gunicorn + Uvicorn",devops;infrastructure,Deploy
done,BUG: upload-artifact deprecado,"Atualizado de v3 para v4 no GitHub Actions",devops;bugfix,Correções
done,BUG: Falta reportlab,"Adicionado reportlab no requirements.txt para testes de PDF",devops;bugfix,Correções
done,BUG: Testes CSVProcessor quebrados,"Método standardize_data não existia - testes corrigidos",devops;bugfix,Correções
done,BUG: Erro indentação Python,"IndentationError nos testes - corrigido espaçamento",devops;bugfix,Correções
done,BUG: SonarCloud Automatic Analysis,"Conflito com CI - desabilitado Automatic Analysis",devops;bugfix,Correções
done,Provisionar EC2 AWS,"t2.micro Ubuntu 22.04 LTS em sa-east-1",infrastructure;aws,Infraestrutura
done,Configurar Security Groups,"Portas 22 80 443 5432 abertas com regras específicas",infrastructure;aws,Infraestrutura
done,Instalar PostgreSQL,"PostgreSQL 14 com usuário e banco configurados",infrastructure;database,Infraestrutura
done,Criar S3 bucket,"Bucket para frontend com static website hosting",infrastructure;aws,Infraestrutura
done,Configurar CORS,"Permitir requisições do frontend para backend",infrastructure;aws,Infraestrutura
done,BUG: Limite upload Nginx,"Adicionado client_max_body_size 10M",infrastructure;bugfix,Correções
done,BUG: Permissões S3,"Configurado public-read para arquivos estáticos",infrastructure;bugfix,Correções
in-progress,Criar GitHub Wiki,"Documentação completa: requisitos arquitetura deploy",documentation,Documentação
in-progress,Criar diagramas C4,"Diagramas de Contexto e Containers",documentation,Documentação
in-progress,Documentar API,"Endpoints parâmetros e exemplos de resposta",documentation,Documentação
todo,Criar Dockerfile backend,"Containerizar aplicação FastAPI",devops;docker,
todo,Criar Dockerfile frontend,"Containerizar build do React",devops;docker,
todo,Criar docker-compose.yml,"Orquestrar backend frontend e PostgreSQL",devops;docker,
todo,Deploy automático AWS,"GitHub Actions → Deploy automático em EC2 e S3",devops;ci-cd,
todo,Implementar Terraform,"Infraestrutura como código para EC2 RDS S3",devops;iac,
todo,Aumentar cobertura testes,"De 21% para 50% adicionando testes de integração",devops;testing,
